jobs,skills,employment,coverage
Logistics Analysts,"{'Verify material availability with potential suppliers (Operations & Logistics > Procurement & Purchasing > Supplier Material Availability Inquiry)', 'Monitor vehicle and inventory flows using logistics tracking systems (Operations & Logistics > Supply Chain Operations Management > EndToEnd Product Flow Tracking)', 'Provide ongoing analyses of transportation costs, procurement, back orders, and delivery processes (Operations & Logistics > Logistics Analytics > Logistics Operations Analysis & Modeling)', 'Develop and maintain vendor payment systems to ensure payment accuracy (Operations & Logistics > Procurement & Purchasing > EProcurement System Administration)', 'Track endtoend product flow through the supply chain (Operations & Logistics > Supply Chain Operations Management > EndtoEnd Product Flow Tracking)', 'Maintain logistics information databases (Information Technology > Database Management > Logistics Information Databases)', 'Enter logistics data into databases (Operations & Logistics > Supply Chain Operations Management > Logistics Data Entry & Records Update)', 'Recommend logistics process improvements (Operations & Logistics > Logistics Analytics > Logistics Operations Analysis & Modeling)', 'Determine packaging requirements for shipments and storage. (Operations & Logistics > Supply Chain Operations Management > Packaging Requirements Determination)', 'Interpret logistics data across supply chain domains (Operations & Logistics > Logistics Analytics > Logistics Operations Analysis & Modeling)', 'Maintain logistics records in line with corporate policies (Operations & Logistics > Supply Chain Operations Management > Logistics Records Management & Compliance)', 'Prepare logistics performance reports (Operations & Logistics > Logistics Analytics > Logistics Performance Reporting)', 'Apply analytics to logistics operations (Operations & Logistics > Logistics Analytics > Logistics Operations Analysis & Modeling)', 'Monitor warehouse inventory transactions for process integrity (Operations & Logistics > Supply Chain Operations Management > Inventory Transaction Monitoring & Integrity Assessment)', 'Coordinate and monitor logistics service providers (Operations & Logistics > Supply Chain Operations Management > Carrier Coordination & Performance Monitoring)', 'Compute logistics performance metrics (Operations & Logistics > Logistics Analytics > Logistics Performance Reporting)'}",241000,0.018979833926453145
"Court, Municipal, and License Clerks","{'Record, edit, and distribute meeting minutes (Administration & Office > Records Management > Meeting Minutes Documentation & Distribution)', 'Provide public guidance on licensing policies, procedures, and regulations (Compliance & Legal > Regulatory Compliance > Public Licensing Policy & Procedure Inquiry Response)', 'Prepare and issue judicial orders and summonses (Compliance & Legal > Judicial Administration > Court Orders & Summons Documentation)', 'Enter court case dispositions, orders, and fee arrangements (Compliance & Legal > Judicial Administration > Court Case Records & Disposition Entry)', 'Conduct applicant intake and record required data on forms (Administration & Office > Records Management > Applicant Information Intake & Data Recording)', 'Prepare meeting agendas and assemble related information packets (Administration & Office > General Office Administration > Meeting Agenda Preparation & Materials Assembly)', 'Perform general office clerical tasks (dictation, correspondence, forms, scheduling) (Administration & Office > General Office Administration > General Clerical Tasks & Scheduling)', 'Notify parties of court appearance schedules (Compliance & Legal > Judicial Administration > Court Scheduling Notifications)', 'Respond to public inquiries about court procedures, schedules, and fines (Compliance & Legal > Judicial Administration > Public Judicial Information Inquiry Response)', 'Maintain vital records and fiscal accounts (Administration & Office > Records Management > Vital Records & Fiscal Accounts Maintenance)', 'Issue public notices of official activities and meetings (Compliance & Legal > Judicial Administration > Public Meeting & Activity Notices Issuance)', 'Prepare judicial case outcome records (Compliance & Legal > Judicial Administration > Court Case Records & Disposition Entry)'}",180400,0.014234875444839857
Compliance Officers,"{'Prepare compliance activity, evaluation, recommendation, and decision reports (Compliance & Legal > Compliance Reporting & Documentation)', 'Prepare licensing decision and appeals correspondence (Compliance & Legal > Regulatory Compliance > Licensing Correspondence)', 'Review documentation for eligibility or liability (Compliance & Legal → Regulatory Compliance → Eligibility & Liability Documentation Review)'}",418000,0.0035587188612099642
Web Developers,"{'Develop support code for web applications and sites (Information Technology > Systems Analysis & Solution Design > Application Development & Customization)', 'Monitor security logs and escalate incidents (Information Technology > IT Operations > Security Monitoring & Incident Reporting)', 'Document website technical specifications (Information Technology > Systems Analysis & Solution Design > System Requirements & Specification Documentation)', 'Perform or direct website updates (Information Technology > Web & Application Administration > Website Content Maintenance)', 'Review web code for standards compliance and crossplatform compatibility (Information Technology > Web & Application Administration > Web System Testing & Validation)', 'Develop and maintain websites (Information Technology > Web & Application Administration > Website Development & Maintenance)', 'Design server directory structures (Information Technology > Web & Application Administration > Server Directory Structure Design)', 'Back up website files to local directories (Information Technology > Web & Application Administration > Website Backup)', 'Develop and implement procedures for ongoing website revisions (Information Technology > Web & Application Administration > Website Revision Procedures Development & Implementation)', 'Perform website testing on schedule and after revisions (Information Technology > Web & Application Administration > Web System Testing & Validation)', 'Coordinate resolution of website hosting and network issues (Information Technology > Web & Application Administration > Web Hosting & Infrastructure Issue Coordination)', 'Recommend and implement web performance optimizations (Information Technology > Web & Application Administration > Web Performance Optimization)', 'Handle user email inquiries and set up automated responses (Information Technology > Web & Application Administration > User Inquiry Email Handling & Automation)'}",86000,0.01542111506524318
Web Administrators,"{'Set up and maintain web monitoring tools (Information Technology > Web & Application Administration > Web Monitoring & Alerting)', 'Install and configure web servers with secure, logical directory structures and naming (Information Technology > Web & Application Administration > Web Server Installation & Configuration)', 'Maintain website content and links (Information Technology > Web & Application Administration > Website Content Maintenance)', 'Conduct scheduled integration, performance, and security tests (Information Technology > Web & Application Administration > Web System Testing & Validation)', 'Diagnose and remediate web application and server issues (Information Technology > Web & Application Administration > Web Application & Server Troubleshooting & Remediation)', 'Monitor systems for security incidents and report breaches (Information Technology > IT Operations > Security Monitoring & Incident Reporting)', 'Remediate testidentified issues (Information Technology > Web & Application Administration > Web Application & Server Troubleshooting & Remediation)', 'Collect and analyze user feedback to troubleshoot issues (Information Technology > Web & Application Administration > User Feedback Collection & Analysis for Problem Resolution)', 'Track and analyze website usage data (Data & Analytics > Website Usage Analytics)', 'Implement updates and patches promptly to minimize service disruption (Information Technology > Web & Application Administration > Update & Patch Management)', 'Perform application backup and disaster recovery preparation (Information Technology > Web & Application Administration > Application Backup & Disaster Recovery)'}",472000,0.013048635824436536
Bioinformatics Scientists,"{'Develop or customize scientific software applications (Information Technology > Systems Analysis & Solution Design > Application Development & Customization)', 'Manipulate bioinformatics databases (Information Technology > Database Management > Bioinformatics Databases)', 'Train users on bioinformatics tool selection and use (Information Technology > IT Support > User Training & Documentation Development)', 'Analyze bioinformatics datasets (genomics/proteomics) for research (Data & Analytics > Statistical Analysis > Bioinformatics Data Analysis)', 'Compile datasets for bioinformatics analyses (Data & Analytics > Data Processing & Preparation > Bioinformatics Data Compilation)', 'Develop and maintain webbased bioinformatics tools (Information Technology > Web & Application Administration > Bioinformatics Web Tools Development)', 'Develop novel computational analysis methods and research tools (bioinformatics) (Data & Analytics > Analytics Tool Development > Research Computational Method & Tool Development)'}",63700,0.00830367734282325
Network and Computer Systems Administrators,"{'Design, configure, and test networked systems and operating environments (Information Technology > IT Operations > Network & Systems Engineering & Testing)', 'Analyze equipment performance records for maintenance decisions (Information Technology > IT Operations > Equipment Performance Analysis & Maintenance Planning)', 'Recommend system and network configuration changes and requirements (Information Technology > IT Operations > IT Resource Planning & Architecture)', 'Administer messaging and endpoint security systems (Information Technology > IT Operations > Messaging & Endpoint Security Administration)', 'Monitor network performance and plan capacity adjustments (Information Technology > IT Operations > Network Performance Monitoring & Capacity Planning)', 'Plan and implement network security measures (Information Technology > IT Operations > Network Security Planning & Implementation)', 'Administer and maintain networks and systems (Information Technology > IT Operations > Network & Systems Administration)', 'Monitor systems and networks via consoles and coordinate access and use (Information Technology > IT Operations > Systems Monitoring & Alerting)', 'Execute network startup/shutdown procedures and log control records (Information Technology > IT Operations > Network Operations Procedures)', 'Execute backup and disaster recovery operations (Information Technology > IT Operations > Backup & Disaster Recovery Operations)'}",331500,0.011862396204033215
Computer and Information Research Scientists,"{'Assign and schedule work tasks to meet priorities and goals (Administration & Office > Scheduling & Notifications > Workforce Scheduling & Allocation)', 'Design computer systems and codesign software architecture (Information Technology > Systems Analysis & Solution Design > Computer Systems & Software CoDesign)', 'Evaluate project plans and proposals for feasibility and risks (Operations & Logistics > Project Planning & Feasibility > Feasibility Evaluation & Risk Assessment)', 'Analyze technical problems and design hardware/software solutions (Information Technology > Systems Analysis & Solution Design > Feasibility Assessment & Requirements Analysis)', 'Apply theoretical expertise to innovate computing technologies and applications (Information Technology > Computing Research & Innovation)', 'Approve and manage operational budgets (Finance & Accounting > Budget Management > Operational Budget Approval & Management)'}",40300,0.0071174377224199285
Search Marketing Strategists,"{'Configure and optimize digital analytics tracking tools (Data & Analytics > Digital Analytics Implementation & Tagging)', 'Develop digital content strategies (Content & Publishing > Digital Content Strategy Development)', 'Track and report search marketing performance to stakeholders (Data & Analytics > Campaign Performance Tracking > Digital Campaign KPI Definition & Reporting)', 'Run A/B and multivariate experiments to optimize search performance (Data & Analytics > Experimentation & Optimization)', 'Analyze digital market trends and competitor activity (Data & Analytics → Market Research & Opportunity Analysis → Digital Trend & Competitor Monitoring)', 'Collect and analyze website performance metrics (Data & Analytics > Website Usage Analytics)', 'Integrate secondary data with keyword research for intent profiling (Data & Analytics > Market Research & Opportunity Analysis > Search Intent Profiling & Keyword Research Integration)', 'Execute online marketing initiatives across paid, affiliate, sponsorship, email, and social channels (Content & Publishing > Digital Marketing Campaign Management > Online Marketing Campaign Execution)', 'Develop and propose multichannel digital marketing campaign plans (Content & Publishing > Digital Marketing Campaign Management > Digital & MultiChannel Campaign Proposal Development)', 'Optimize website conversion and shopping cart performance against KPIs (Data & Analytics > Experimentation & Optimization > Conversion Rate Optimization (CRO))', 'Optimize website SEO using search pattern analysis and keyword placement (Content & Publishing > Digital Asset Optimization (SEO & Usability))', 'Define KPIs and report key metrics for digital marketing campaigns (Data & Analytics > Campaign Performance Tracking > Digital Campaign KPI Definition & Reporting)', 'Optimize digital assets for SEO and usability across devices (Content & Publishing > Digital Asset Optimization (SEO & Usability))', 'Develop and implement online marketing strategy (Content & Publishing > Digital Content Strategy Development > Online Marketing Strategy Development & Implementation)'}",941700,0.0166073546856465
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","{'Present technical product energy efficiency and environmental impact information to customers (Content & Publishing > Technical Presentations & Reporting > Technical Sales Presentations & Proposal Development)', 'Prepare routine expense, sales, and administrative reports (Administration & Office > General Office Administration > Administrative Reports & Paperwork Preparation)', 'Prepare and submit sales contracts (Compliance & Legal → Legal Document Drafting & Review → Sales Contract Preparation & Submission)', 'Answer customer inquiries about products, pricing, availability, and credit terms (Administration & Office > Customer Service & Issue Resolution > Product & Pricing Information Communication)', 'Communicate product delivery timelines and service/warranty terms to customers (Administration & Office > Customer Service & Issue Resolution > Service Policy Explanation & Client Guidance)', 'Estimate customer costs and savings for proposed solutions (Finance & Accounting > Financial Calculations & Reporting > Customer Cost & Savings Estimation)', 'Collaborate to share sales and marketing information (Administration & Office > General Office Administration > Team Communications & Collaboration)', 'Verify bill of materials and materials list accuracy (Operations & Logistics > Production Scheduling & Documentation > Bill of Materials & Materials List Accuracy Verification)', 'Prepare technical sales presentations and proposals explaining specifications or applications (Content & Publishing > Technical Presentations & Reporting > Technical Sales Presentations & Proposal Development)', 'Maintain customer records in automated systems (Administration & Office → Records Management → Customer Records Management)', 'Verify customer creditworthiness (Finance & Accounting > Financial Profile Assessment > Credit Risk Assessment & Reporting)', 'Provide price quotes and bid terms to customers (Administration & Office > Customer Service & Issue Resolution > Product & Pricing Information Communication)'}",303200,0.014234875444839857
Technical Writers,"{'Plan updates to technical content based on domain developments (Content & Publishing > Technical Writing & Standards Compliance > Technical Content Update Planning)', 'Develop and maintain online help documentation (Content & Publishing > Technical Writing & Standards Compliance > Online Help Documentation Development & Maintenance)', 'Coordinate document typing, duplication, and distribution (Administration & Office > Document Production & Distribution > Document Typing & Duplication Coordination)', 'Maintain versioned records of work products and revisions (Administration & Office > Records Management > Work Product Version Records & Revision Tracking)', 'Organize and write technical content to standards (Content & Publishing > Technical Writing & Standards Compliance)', 'Evaluate published materials and recommend revisions to scope, format, content, and production methods. (Content & Publishing > Publication Scope, Format & Production Recommendations)', 'Edit and standardize technical documentation (Content & Publishing > Technical Writing & Standards Compliance > Technical Editing & Standardization)', 'Select visual assets to illustrate content (Content & Publishing > Content Selection & Organization for Presentation)'}",56400,0.009489916963226572
Biostatisticians,"{'Recommend statistical methods based on clinical research protocols (Data & Analytics > Statistical Design & Power Analysis > Clinical Protocol Statistical Methods Recommendation)', 'Prepare tables and graphs to present clinical analysis results (Data & Analytics > Statistical Reporting)', 'Calculate clinical study sample sizes (Data & Analytics > Statistical Design & Power Analysis)', 'Perform advanced statistical analysis of clinical or survey data (Data & Analytics > Statistical Analysis > Clinical & Survey Data Statistical Analysis)', 'Write statistical analysis code (scripts in statistical software) (Data & Analytics > Statistical Analysis > Statistical Programming & Script Development)'}",32200,0.005931198102016607
"News Analysts, Reporters, and Journalists","{'Revise content to meet editorial approval and medium constraints (Content & Publishing > Audience & MediumSpecific Messaging Adaptation)', 'Analyze reporting notes to extract key facts and details (Content & Publishing > News Analysis & Broadcast Content Preparation)', 'Analyze news sources and prepare broadcastready content (Content & Publishing > News Analysis & Broadcast Content Preparation)', 'Research background information for news stories (Content & Publishing > Fact Checking & Source Research)', 'Curate and organize content for presentation (Content & Publishing > Content Selection & Organization for Presentation)', 'Generate commentary ideas and angles from current events (Content & Publishing > Editorial Ideation & Commentary Development)', 'Edit and proofread multimedia content for style and accuracy (Content & Publishing > Editorial Copyediting & Proofreading (Multimedia))', 'Analyze news items to identify coverage topics (Content & Publishing > News Analysis & Broadcast Content Preparation)', 'Verify facts using reference sources and public records (Content & Publishing > Fact Checking & Source Research)', 'Write editorial commentaries, columns, and scripts. (Content & Publishing > Editorial Commentary & Column Writing)'}",49300,0.011862396204033215
Social Science Research Assistants,"{'Develop custom programs for statistical analysis and data processing (Data & Analytics > Analytics Tool Development)', 'Conduct online and library research (Administration & Office > Research Coordination & Communications > Background Literature & Internet Research)', 'Perform descriptive and multivariate statistical analyses (Data & Analytics > Statistical Analysis)', 'Recruit and schedule study participants (Administration & Office > Research Coordination & Communications > Participant Recruitment & Scheduling)', 'Verify database entries for accuracy and correct data errors (Data & Analytics > Data Quality & Validation > Data Accuracy Verification & Correction)'}",40600,0.005931198102016607
"Bookkeeping, Accounting, and Auditing Clerks","{'Retrieve account information from financial systems to answer inquiries (Finance & Accounting > Accounting Software Operation > Financial Information Retrieval & Inquiry Response)', 'Verify financial entries and coding accuracy (Finance & Accounting > Financial Document Collection & Verification)', 'Reconcile records and report discrepancies (Finance & Accounting > Account Reconciliation)', 'Operate accounting software to record, store, and analyze financial data (Finance & Accounting > Accounting Software Operation)', 'Reconcile orders with invoices and record details (Finance & Accounting > Invoicing & Billing Administration > OrderInvoice Matching & Record Entry)', 'Prepare and issue checks for bills, taxes, and other payments (Finance & Accounting > Accounts Payable & Disbursements)', 'Perform routine financial and interest calculations (Finance & Accounting > Financial Calculations & Reporting > Financial Amounts & Interest Calculations)', 'Record and summarize financial transactions in ledgers (Finance & Accounting > Bookkeeping & Ledger Maintenance)', 'Post debits and credits and total accounts in accounting software (root > Finance & Accounting > Bookkeeping & Ledger Maintenance)', 'Reconcile bank transaction records (Finance & Accounting > Account Reconciliation)', 'Prepare and issue invoices and account statements (Finance & Accounting > Invoicing & Billing Administration)', 'Calculate and process payroll (Finance & Accounting → Payroll Processing → Payroll Calculation & Data Entry)', 'Operate office machines to perform calculations and produce documents (Administration & Office > General Office Administration > Office Equipment & Productivity Software Operation)', 'Assign document codes per procedures (Administration & Office > Records Management > Document Classification & Coding)'}",1613400,0.0166073546856465
Mathematicians,"{'Develop mathematical and statistical models for analysis and simulation (Data & Analytics > Mathematical & Statistical Modeling)', 'Apply mathematical reasoning to quantitative relationships and structures (Data & Analytics > Numerical Analysis & Computation)', 'Apply numerical analysis methods to data (Data & Analytics > Numerical Analysis & Computation)', 'Build assumption sets and analyze modeled outcomes (root > Data & Analytics > Mathematical & Statistical Modeling)', 'Develop computational methods and algorithms for applied problems (Data & Analytics > Numerical Analysis & Computation)'}",2400,0.005931198102016607
Travel Agents,"{'Provide travel information materials to customers (Operations & Logistics > Travel Booking & Ticketing > Travel Information Materials Provision)', 'Issue or request transportation tickets via booking systems (Operations & Logistics > Travel Booking & Ticketing > Ticket Issuance & Printing)', 'Collect customer payments for travel bookings (Operations & Logistics > Travel Booking & Ticketing > Travel Payment Collection & Processing)', 'Book travel and accommodations (Operations & Logistics > Travel Booking & Ticketing > Travel Booking & Itinerary Coordination)', 'Design, arrange, and sell travel itinerary packages and incentives (Operations & Logistics > Travel Booking & Ticketing > Itinerary Package Design & Sales)', 'Assess client travel needs, preferences, budget, and constraints (Operations & Logistics > Travel Booking & Ticketing > Client Travel Needs Assessment)', 'Maintain client, vendor, and travel package records (Administration & Office > Records Management > Customer Records Management)', 'Calculate and quote travel and accommodation costs (Operations & Logistics > Travel Booking & Ticketing > Travel Cost Calculation & Quotation)'}",65700,0.009489916963226572
Radiologists,"{'Prepare comprehensive clinical diagnostic reports (Content & Publishing > Technical Presentations & Reporting > Clinical Diagnostic Report Preparation)', 'Operate clinical imaging archiving/communication systems (Information Technology > Web & Application Administration > Clinical Imaging Systems Operations)', 'Participate in clinical quality improvement and risk reviews (Quality Management > Clinical Quality Improvement Participation & Risk Review)', 'Document procedures performed, interpretations, and outcomes (Administration & Office > Records Management > Clinical Procedure Documentation)', 'Maintain professional expertise through continuing education (Administration & Office > Human Resources Administration > Continuing Education Participation & Credential Maintenance)', 'Develop and monitor imaging quality control procedures (Quality Management > Quality Control Procedure Development & Monitoring)', 'Perform and interpret diagnostic imaging results (Data & Analytics > Clinical Care Data Collection & Analysis > Diagnostic Imaging Procedure Performance & Interpretation)'}",28200,0.00830367734282325
Clinical Data Managers,"{'Perform statistical analysis of clinical data (Data & Analytics > Clinical Care Data Collection & Analysis)', 'Process and verify clinical data records (Administration & Office → Records Management → Clinical Data Processing & Verification)', 'Track document and electronic form workflow (Administration & Office > Records Management > Document & Forms Workflow Tracking)', 'Generate data queries to resolve validation errors and omissions (Data & Analytics > Data Quality & Validation > Data Query Generation for Validation)', 'Prepare data analysis listings and performance/progress reports (Data & Analytics > Statistical Reporting)', 'Monitor productivity and quality for SOP compliance (Quality Management > Quality Control Procedure Development & Monitoring)', 'Define data management programming specifications and communicate to IT (Information Technology > Systems Analysis & Solution Design > Data Management Programming Specifications)'}",245900,0.00830367734282325
